ações de comunicação,objetivo das ações de comunicação (OKR),Tipo de indicadores,frequência de acompanhamento,finalidade de comunicação,Indicadores de ROI
Gestão Estratégica de Comunicação,Reforçar a percepção favorável de força da marca entre os stakeholders,qualidade,,"Despertar consciência  para marca, Chamar atenção, Proporcionar Conhecimento, Suscitar interesse, Garantir Identificação e empatia","Eficácia, Efetividade"
Gestão Estratégica de Comunicação,Reforçar a percepção favorável de força da marca na imprensa e líderes de opinião,qualidade,,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia","Eficácia, Efetividade"
Gestão Estratégica de Comunicação,Reforçar a percepção favorável de força da marca para o público geral,qualidade,,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia","Eficácia, Efetividade"
Gestão Estratégica de Comunicação,Conquitar a reputação excelente da marca entre os stakeholders,reputacional,,"Suscitar interesse, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência","Eficiência, Efetividade"
Gestão Estratégica de Comunicação,Conquitar a reputação excelente da marca na imprensa e líderes de opinião,reputacional,,"Suscitar interesse, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência","Eficiência, Eficácia"
Gestão Estratégica de Comunicação,Conquitar a reputação excelente da marca para o público geral,reputacional,,"Suscitar interesse, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência","Eficiência, Eficácia"
Gestão Estratégica de Comunicação,Conquistar engajamento favorável com os públicos e a comunidade comunidade,"interatividade, qualidade",,"Garantir Identificação e empatia, Suscitar interesse","Eficiência, Efetividade"
Gestão Estratégica de Comunicação,Construir engajemento dos públicos ,interatividade,,"Garantir Identificação e empatia, Suscitar interesse","Eficiência, Efetividade"
Gestão Estratégica de Comunicação,Gerar impacto favorável da marca na imprensa por meio de campanhas de comunicação,exposição,,"Despertar consciência  para marca, Chamar atenção, Proporcionar Conhecimento, Conseguir a Preferência, Levar à Decisão de Compra",Eficiência
Gestão Estratégica de Comunicação,Garantir eficiência entre impacto e gasto na exposição da marca por meio de campanhas de comunicação,"financeiro, qualidade",,"Despertar consciência  para marca, Chamar atenção, Proporcionar Conhecimento, Conseguir a Preferência, Levar à Decisão de Compra",Eficiência
Gestão Estratégica de Comunicação,Gerar ganho reputacional da marca na imprensa por meio de campanhas de comunicação,reputacional,,"Garantir Identificação e empatia, Suscitar interesse, Criar Desejo / Expectativa, Conseguir a Preferência","Eficiência, Efetividade"
Gestão Estratégica de Comunicação,Garantir eficiência entre ganho reputacional e gasto na exposição da marca por meio de campanhas de comunicação,"financeiro, reputacional",,"Garantir Identificação e empatia, Suscitar interesse, Criar Desejo / Expectativa, Conseguir a Preferência","Eficiência, Efetividade"
Gestão Estratégica de Comunicação,Gerar impacto favorável da marca no público geral por meio de campanhas de comunicação,exposição,,"Despertar consciência  para marca, Chamar atenção, Proporcionar Conhecimento, Conseguir a Preferência, Levar à Decisão de Compra",Eficiência
Gestão Estratégica de Comunicação,Gerar ganho reputacional da marca no público geral por meio de campanhas de comunicação,reputacional,,"Garantir Identificação e empatia, Suscitar interesse, Criar Desejo / Expectativa, Conseguir a Preferência","Eficiência, Efetividade"
Gestão Estratégica de Comunicação,Conquistar espaço qualificado em relação aos concorrentes nas mídias,"exposição, qualidade",,"Despertar consciência  para marca, Proporcionar Conhecimento","Eficiência, Efetividade"
Gestão Estratégica de Comunicação,Conquistar ganho reputacional em relação aos concorrentes nas mídias,reputacional,,"Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência","Eficiência, Efetividade"
Gestão de Crise de Imagem,Minimizar impacto da crise na imagem pública na imprensa e influenciadores,"exposição, qualidade",,"Garantir Identificação e empatia, Proporcionar Conhecimento",Eficiência
Gestão de Crise de Imagem,Minimizar a perda de reputação na imagem pública na imprensa e influenciadores,reputacional,,"Garantir Identificação e empatia, Proporcionar Conhecimento",Eficiência
Gestão de Crise de Imagem,Melhorar a qualidade de engajamento do público no momento da crise,"interatividade, qualidade",,Garantir Identificação e empatia,Eficiência
Gestão de Crise de Imagem,Melhorar qualidade de percepção da marca pós-crise,"qualidade, exposição",,"Garantir Identificação e empatia, Chamar atenção, Proporcionar Conhecimento",Efetividade
Gestão de Crise de Imagem,Melhorar o ambiente reputacional da marca pós-crise,reputacional,,"Garantir Identificação e empatia, Chamar atenção, Proporcionar Conhecimento",Efetividade
Prevenção de Crises,Monitorar temas sensíveis para prevenir possíveis crises,exposição,,"Garantir Identificação e empatia, Chamar atenção, Proporcionar Conhecimento",Eficiência
Prevenção de Crises,Conquistar eficiência nas estratégias de identificação de risco,"exposição, qualidade",,Garantir Identificação e empatia,Eficiência
Prevenção de Crises,Fortalecer nível de treinamento: qualidade de posicionamento de porta-vozes,gestão,,Estabelecer Interação,Eficácia
Prevenção de Crises,"Estabelecer qualidade de relacionamento com imprensa, influenciadores e stakeholders",gestão,,Estabelecer Interação,Eficácia
Análise de Tendências de Mercado,Monitorar temas de interesse para identificar oportunidades de exposição nas mídias,exposição,,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Eficácia
Análise de Tendências de Mercado,Monitorar stakeholders e líderes de opinião para indentificar riscos e oportunidades,exposição,,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Eficácia
Advocacy e Lobby,Melhorar percepção pública do o avanço de políticas favoráveis e/ou impactos em decisões políticas/regulatórias,"exposição, qualidade",,"Conseguir a Preferência, Suscitar interesse, Proporcionar Conhecimento",Eficácia
