disciplinas de comunicação,Etapas de Funil,Objetivo de comunicação,Descrição
Comunicação Institucional,topo de funil,Despertar consciência  para marca,público não conhece a empresa e/ou não tem consciência das necessidades
Comunicação Institucional,topo de funil,Chamar atenção,gerar atenção para os diferenciais de mercado da empresa
Comunicação Institucional,topo de funil,Suscitar interesse,"mensagem precisa não só chamar atenção, mas despertar o interesse do público-alvo"
Comunicação Institucional,topo de funil,Proporcionar Conhecimento,receptor interessado precisa ser impacto com mensagens informativa e de fácil entendimento
Comunicação Institucional,meio de funil,Garantir Identificação e empatia,comunicação precisa ser compreendida pelo público-alvo (linguagem) para identificação e compreensão
Comunicação Mercadológica,meio de funil,Criar Desejo / Expectativa,comunicar elementos da marca que criem desejo de compra do produto
Comunicação Mercadológica,meio de funil,Conseguir a Preferência,discurso de diferenciação em relação aos concorrentes
Comunicação Mercadológica,fundo de funil,Levar à Decisão de Compra,comunicação com nível de persuasão para estimular a decisão de compra
Comunicação Mercadológica,fundo de funil,Efetivar a tomada de Decisão,"minimizar os fatores de impedimento da compra (ex. preço, distribuição) e estimular a ação"
Comunicação Administrativa,relacionamento com cliente,Satisfação pós-ação,SACs
Comunicação Administrativa,relacionamento com cliente,Estabelecer Interação,fluxo contínuo com os interlocutores
Comunicação Administrativa,relacionamento com cliente,Obter Fidelidade,relacionamento com cliente
Comunicação Administrativa,relacionamento com cliente,Gerar Disseminação,identificar e estimular agentes disseminadores de comunicação positiva
Comunicação Administrativa,relacionamento com colocaborador,,
Comunicação Administrativa,relacionamento com colocaborador,,
Comunicação Administrativa,relacionamento com colocaborador,,
